index,XLNX_close,XLNX_volume,LSCC_close,LSCC_volume,INTC_close,INTC_volume,NVDA_close,NVDA_volume,AMD_close,AMD_volume
2019-07-02,117.6,3113500.0,,,,,,,,
2019-07-03,116.39,2627900.0,14.92,1328100.0,48.52,10739100.0,162.75,6165900.0,31.19,23462000.0
2019-07-05,116.11,1747400.0,15.07,678300.0,48.08,14339200.0,160.23,9913800.0,31.5,34011900.0
2019-07-08,115.93,1431600.0,15.02,973400.0,47.82,16564300.0,157.21,8244700.0,32.04,49689400.0
2019-07-09,117.34,2081400.0,15.38,2696200.0,47.75,17853200.0,157.31,8571500.0,33.15,61419800.0
2019-07-10,117.49,2062600.0,15.88,2538900.0,48.21,16032300.0,160.06,11301900.0,33.79,60388400.0
2019-07-11,118.37,1880000.0,16.25,2508400.0,48.6,16615100.0,166.28,17064000.0,33.06,63081800.0
2019-07-12,120.32,2183500.0,16.62,3204600.0,49.92,20148700.0,167.61,12659800.0,33.21,51509700.0
2019-07-15,121.66,1407300.0,16.88,2247100.0,50.12,14345100.0,167.27,7246000.0,34.39,65565200.0
2019-07-16,121.23,2050600.0,16.15,1946800.0,49.17,17131400.0,167.08,8536100.0,33.85,66912700.0
2019-07-17,120.91,1727700.0,16.39,1849100.0,49.39,11928600.0,169.71,8705100.0,33.6,42557900.0
2019-07-18,122.86,2907500.0,16.18,2290800.0,49.94,15671600.0,170.18,11054800.0,33.0,58473900.0
2019-07-19,122.7,2434200.0,16.37,1144600.0,50.27,29141100.0,168.44,8622400.0,32.51,44617700.0
2019-07-22,124.23,2073100.0,16.38,989600.0,51.35,21688000.0,171.32,7898500.0,32.85,37777300.0
2019-07-23,127.28,3043700.0,16.3,1099900.0,51.75,18413500.0,175.66,10704400.0,33.49,38532500.0
2019-07-24,132.14,6356300.0,16.79,2653200.0,52.92,20896400.0,178.66,9155900.0,34.11,41952300.0
2019-07-25,127.59,7457600.0,16.66,1517700.0,52.16,27765400.0,173.38,9817500.0,33.67,36705600.0
2019-07-26,120.77,5831400.0,16.68,884500.0,51.59,36401500.0,175.07,6854000.0,34.02,43502800.0
2019-07-29,120.55,2770300.0,16.38,1866400.0,52.51,21897500.0,174.82,6204000.0,33.48,45922000.0
2019-07-30,119.51,2404900.0,16.41,2296100.0,51.7,16487700.0,175.45,4944300.0,33.87,72198900.0
