index,XLNX_close,XLNX_volume,LSCC_close,LSCC_volume,INTC_close,INTC_volume,NVDA_close,NVDA_volume,AMD_close,AMD_volume
2019-05-01,116.64,4833500,13.49,4792700,50.76,20467600,180.47,8857000,26.81,136066900
2019-05-02,118.9,3503200,13.89,2155900,50.55,22655400,183.19,9867100,28.29,100514800
2019-05-03,119.02,3255700,14.79,3193300,51.75,25656600,183.01,8420600,28.22,55503100
2019-05-06,118.81,3316800,14.78,1813800,51.22,26245200,179.85,10554400,27.42,70344100
2019-05-07,117.81,5390000,14.31,1880000,50.48,29713400,173.11,13880500,26.66,75868800
2019-05-08,117.69,3223200,13.91,1498300,49.24,36812400,173.92,10479200,27.09,65967500
2019-05-09,116.7,3565400,13.66,1625500,46.62,59642200,170.19,16506200,27.21,73150900
2019-05-10,116.92,3770400,13.66,1227400,46.2,42522800,168.82,14237500,27.96,82930100
2019-05-13,110.64,5779000,13.02,1624400,44.76,39091900,158.45,16422800,26.24,99017900
2019-05-14,113.18,3411700,13.33,1925800,45.17,24706500,162.04,13122000,27.32,82980400
2019-05-15,114.45,3902000,13.8,1879600,45.62,23407900,159.58,12558000,27.58,55689900
2019-05-16,106.13,13656500,13.59,1343500,45.53,19954700,160.19,19527200,28.01,67330100
2019-05-17,104.76,8374500,12.33,2562000,44.89,22500400,156.53,25551700,27.5,65385400
2019-05-20,101.03,10459300,11.45,6018200,43.56,28675000,151.75,14301600,26.68,69757400
2019-05-21,105.71,6375000,12.16,3538800,44.46,25543400,155.06,9046200,27.35,46079200
2019-05-22,104.69,3236500,11.84,1962500,44.0,16932500,152.2,8146700,27.41,40035300
2019-05-23,102.3,4388100,11.71,1491500,44.53,35783900,147.32,14796100,26.36,67809200
2019-05-24,101.21,3740300,11.97,945400,44.57,27168100,145.15,8939600,26.44,39835800
2019-05-28,101.7,4789600,12.01,1153000,43.57,34779900,143.33,10708900,29.03,146949600
2019-05-29,103.65,4417700,12.15,1104500,44.23,28450300,140.34,13995000,28.09,99969600
2019-05-30,105.45,3342200,12.35,935400,44.73,21618900,139.11,9857500,28.03,65289100
2019-05-31,102.31,4143300,12.8,1474900,44.04,25532500,135.46,9743000,27.41,68667800
2019-06-03,102.3,3182600,12.81,1591900,43.46,31155700,133.78,11966100,27.58,147532200
2019-06-04,106.9,4133200,13.46,1555900,44.79,28094900,143.0,16045900,29.57,107549500
2019-06-05,105.6,3021400,13.77,1377100,44.55,20802000,141.28,12790400,29.5,79481500
2019-06-06,106.01,2789300,14.33,1970800,45.1,19076200,143.78,10203500,31.82,131267800
2019-06-07,107.49,2548700,14.29,1592000,46.03,24370300,145.5,8721400,32.41,86841100
2019-06-10,110.88,3689600,14.73,1700300,46.8,20806100,148.43,10069500,33.23,97668800
2019-06-11,111.67,3571200,15.01,1586500,46.85,18415500,150.75,9596800,32.41,82834900
2019-06-12,107.94,2239600,14.43,1018700,46.32,15900600,146.2,8972300,32.18,56298700
2019-06-13,108.35,2606900,14.35,803700,46.7,12267600,148.26,7702000,31.39,63556000
2019-06-14,105.42,3032800,13.83,715500,46.19,15381100,144.64,9860700,30.36,70373000
2019-06-17,104.53,1910500,14.09,1593700,46.13,12643300,145.03,6901000,29.2,70865700
2019-06-18,111.78,5151100,14.69,1102100,47.37,25732300,152.88,14548000,30.45,86444500
2019-06-19,111.84,2631900,14.91,1142200,47.07,17436400,153.12,8291100,30.5,63233900
2019-06-20,114.76,2948900,14.94,1678500,47.19,20126800,154.1,8754200,30.01,72418200
2019-06-21,112.14,4518400,14.39,2653100,47.46,31096300,151.76,10860700,29.1,81861300
2019-06-24,112.69,1974600,13.98,816700,47.63,14479900,152.66,7073700,29.26,55724800
2019-06-25,109.95,2829400,13.65,699900,46.85,16665600,151.48,7796700,28.86,53680900
2019-06-26,114.23,3186100,13.62,1537700,48.19,21886300,159.26,14601800,29.92,65064200
2019-06-27,118.18,4137900,14.03,1252600,47.46,23062900,163.23,11136000,30.74,55623300
2019-06-28,117.92,4524900,14.59,2973000,47.87,26646200,164.23,9941700,30.37,50090900
2019-07-01,121.15,4280500,15.1,1781100,48.05,27505400,166.17,17788300,31.2,60525500
2019-07-02,117.6,3113500,14.7,1432600,48.12,15381600,162.23,10005700,31.24,37721700
2019-07-03,116.39,2627900,14.92,1328100,48.52,10739100,162.75,6165900,31.19,23462000
2019-07-05,116.11,1747400,15.07,678300,48.08,14339200,160.23,9913800,31.5,34011900
2019-07-08,115.93,1431600,15.02,973400,47.82,16564300,157.21,8244700,32.04,49689400
2019-07-09,117.34,2081400,15.38,2696200,47.75,17853200,157.31,8571500,33.15,61419800
2019-07-10,117.49,2062600,15.88,2538900,48.21,16032300,160.06,11301900,33.79,60388400
2019-07-11,118.37,1880000,16.25,2508400,48.6,16615100,166.28,17064000,33.06,63081800
2019-07-12,120.32,2183500,16.62,3204600,49.92,20148700,167.61,12659800,33.21,51509700
2019-07-15,121.66,1407300,16.88,2247100,50.12,14345100,167.27,7246000,34.39,65565200
2019-07-16,121.23,2050600,16.15,1946800,49.17,17131400,167.08,8536100,33.85,66912700
2019-07-17,120.91,1727700,16.39,1849100,49.39,11928600,169.71,8705100,33.6,42557900
2019-07-18,122.86,2916800,16.18,2290800,49.94,15679600,170.18,11079500,33.0,58610900
2019-07-19,122.7,2434200,16.37,1144600,50.27,29141100,168.44,8622400,32.51,44617700
2019-07-22,124.23,2073100,16.38,989600,51.35,21688000,171.32,7898500,32.85,37777300
2019-07-23,127.28,3043700,16.3,1099900,51.75,18413500,175.66,10704400,33.49,38532500
2019-07-24,132.14,6356300,16.79,2653200,52.92,20896400,178.66,9155900,34.11,41952300
2019-07-25,127.59,7457600,16.66,1517700,52.16,27765400,173.38,9817500,33.67,36705600
2019-07-26,120.77,5831400,16.68,884500,51.59,36401500,175.07,6854000,34.02,43502800
2019-07-29,120.55,2770300,16.38,1866400,52.51,21897500,174.82,6204000,33.48,45922000
2019-07-30,119.51,2404900,16.41,2296100,51.7,16487700,175.45,4944300,33.87,72198900
2019-07-31,114.21,5125500,19.34,12246800,50.55,24169800,168.72,8985400,30.45,119190000
2019-08-01,113.46,5335800,19.3,6372700,49.5,34020800,164.92,10530300,29.86,80878900
2019-08-02,110.18,4450900,19.02,2041000,48.68,27881600,161.19,10708700,29.44,60410900
2019-08-05,107.01,4108300,18.6,2016000,46.97,38936600,150.79,14728900,27.99,74333200
2019-08-06,105.66,3018300,18.87,1582300,46.96,26119600,152.35,9031800,28.86,60578400
2019-08-07,104.92,3732100,18.32,1690900,46.73,29440400,153.89,9314000,29.19,58577500
2019-08-08,109.84,3338700,19.36,2019100,47.17,30643700,158.26,7732500,33.92,167278800
2019-08-09,104.23,4415400,18.96,1197400,45.98,24975500,154.18,8545400,34.19,132483900
2019-08-12,103.18,2638500,18.63,1302500,45.6,18490300,151.45,6980000,32.43,106737000
2019-08-13,106.43,3310800,19.08,1269200,46.84,28959500,156.05,8798900,32.11,102009700
2019-08-14,102.98,3002300,18.45,3497800,45.87,25650200,150.07,10497000,30.24,127521500
2019-08-15,103.8,2171000,18.43,831500,45.7,21896000,148.77,11930000,29.67,71674400
2019-08-16,105.46,2531400,19.08,2050500,46.5,22701800,159.56,25199000,31.18,70469800
2019-08-19,106.91,2322300,18.95,1935700,47.23,21403600,170.78,20377800,31.48,67596900
2019-08-20,105.1,3417900,19.11,1397400,46.6,23113300,167.87,11579700,30.72,47924000
2019-08-21,106.09,1552600,20.06,1904400,47.15,15915000,171.23,10681100,31.7,41441500
2019-08-22,104.43,1981500,19.98,1301600,46.78,19783000,171.48,7587200,31.9,47667900
2019-08-23,100.97,4078500,18.86,1986300,44.96,32814000,162.44,14201400,29.54,83681100
2019-08-26,101.79,3320500,19.07,801000,45.56,22080500,165.45,7955200,30.28,50612500
2019-08-27,100.22,2746500,19.25,1641400,45.79,16925500,161.8,7274200,30.2,53229200
2019-08-28,100.83,2249100,19.25,1176600,45.79,14888800,161.22,6390300,30.78,55835900
2019-08-29,103.45,3291700,19.89,1652100,46.87,17803800,167.0,8949400,31.45,44422800
2019-08-30,104.06,1938600,19.69,2058400,47.41,16922600,167.51,7265400,31.45,40307000
2019-09-03,100.4,3216500,18.54,3158900,46.98,15003800,164.17,7403500,30.9,38029300
2019-09-04,102.29,2003100,19.2,1335200,48.92,23450700,168.76,5693200,30.95,46614600
2019-09-05,105.3,3445800,19.73,1841400,50.1,30014200,179.74,17391900,31.5,57861200
2019-09-06,105.94,2650000,19.98,1298200,50.92,17067900,178.65,9424400,30.56,51673000
2019-09-09,105.51,1866900,20.85,4022300,51.59,20749700,180.5,10438100,30.5,54413200
2019-09-10,106.72,2494700,19.18,3537800,51.82,18532000,183.18,8820300,30.23,48604800
2019-09-11,105.05,3136500,20.13,1958600,52.79,18968900,184.33,9037800,29.76,50631700
2019-09-12,105.03,3841700,21.01,2124100,53.01,23308700,184.27,8196000,30.21,53618300
2019-09-13,105.24,1591100,20.93,1713500,52.54,18010800,181.94,8114800,30.69,47758800
2019-09-16,104.39,1375000,20.64,1080800,52.2,13354600,180.21,5795800,30.83,52248500
2019-09-17,104.28,1868700,21.16,1272500,51.95,19641100,181.07,5576200,30.99,35011700
2019-09-18,104.92,2013600,20.34,1927200,51.74,14906800,179.98,6453800,30.42,47027500
2019-09-19,103.62,1770052,19.84,885030,51.57,9695247,176.94,5575846,30.29,38958402
2019-09-20,96.46,6274015,19.47,1287776,50.61,15192203,172.6,4386426,30.04,25607072
