index,XLNX_close,XLNX_volume,LSCC_close,LSCC_volume,INTC_close,INTC_volume,NVDA_close,NVDA_volume,AMD_close,AMD_volume
2019-12-23,98.9,2982501,19.53,1046158,59.23,23593186,238.82,8884815,45.46,56065288
2019-12-24,98.49,1236094,19.43,427401,59.41,6313179,238.62,3471597,46.54,44432192
2019-12-26,98.68,1464357,19.98,1223108,59.82,11486640,239.19,4580451,46.63,57712693
2019-12-27,98.42,1730143,19.23,1298452,60.08,14086147,236.87,6370251,46.18,36624234
2019-12-30,97.68,1664378,19.08,1201048,59.62,12751111,232.32,6456178,45.52,41235735
2019-12-31,97.77,1672372,19.14,1182348,59.85,14435832,235.3,5780283,45.86,31791204
2020-01-02,101.65,3236372,19.43,982982,60.84,17713404,239.91,5941969,49.1,80764599
2020-01-03,99.31,3522777,19.03,796267,60.1,15298577,236.07,5144308,48.6,73362157
2020-01-06,97.24,2832984,19.2,982046,59.93,17759137,237.06,6572812,48.39,48176286
2020-01-07,99.46,3058888,20.1,2189090,58.93,21960524,239.93,7980144,48.25,59935556
2020-01-08,99.18,2172855,21.21,3332138,58.97,23138274,240.38,6931017,47.83,53868957
2020-01-09,101.51,3107549,21.2,2088209,59.3,18818492,243.02,6386053,48.97,76649637
2020-01-10,99.47,4509753,21.23,1773538,58.94,15201929,244.32,7911560,48.165,44215594
2020-01-13,98.95,3597857,22.07,4000090,59.59,16346337,251.98,7739168,48.745,33743618
2020-01-14,99.61,2655557,21.73,1681709,59.43,17092446,247.28,8989483,48.21,38694180
2020-01-15,98.83,2645862,20.645,2991904,58.94,18498803,245.57,6577636,48.545,40199943
2020-01-16,101.36,3029949,21.28,1152881,59.66,21365530,248.93,7104791,49.77,58898926
2020-01-17,102.89,3974028,23.34,7172031,59.6,21803446,249.28,6344764,50.93,57722501
2020-01-21,101.65,3285333,23.17,3620075,60.55,28313385,247.94,5321260,51.05,48403014
2020-01-22,101.29,3025885,22.74,2804262,62.73,29475122,250.05,5980967,51.43,40772219
2020-01-23,102.41,2925337,22.48,1404191,63.32,42778737,252.86,6112861,51.71,40135442
2020-01-24,100.8,3110837,21.7,1996375,68.47,84711037,250.48,9337839,50.35,80004909
2020-01-27,97.0,4062475,20.845,2427190,65.69,30764002,240.2,11763354,49.26,48878578
2020-01-28,98.61,5345297,21.2,994819,67.31,30915394,247.97,7774401,50.53,62343844
2020-01-29,88.06,17109097,20.93,1264704,66.33,18076688,245.54,6486279,47.51,112559197
2020-01-30,87.2,6936186,20.05,2711185,66.47,18522360,245.81,7262590,48.78,70460163
2020-01-31,84.48,5043447,18.6,3251869,63.93,25268428,236.43,9260493,47.0,60322431
2020-02-03,85.05,4640945,18.29,2255925,64.42,16654563,240.33,6398205,48.02,47076956
2020-02-04,85.78,3275881,19.01,2449692,65.46,20970754,247.13,6788589,49.45,46302078
2020-02-05,88.23,3477106,19.62,2090289,67.34,23401417,250.76,5205502,49.84,42737104
2020-02-06,87.72,2777425,18.725,1569957,67.09,17408038,254.245,5457051,49.32,48670617
2020-02-07,85.62,3353638,18.72,1378501,66.02,18134646,251.59,4743803,49.73,53107582
2020-02-10,86.42,2983917,19.0,2608659,66.39,22299288,262.97,13240194,52.26,60971719
2020-02-11,90.29,4773973,19.85,4647728,67.41,17975623,267.89,15963922,53.8,74719054
2020-02-12,91.17,4202369,21.2,4751085,67.46,15586600,272.54,9366118,53.89,45994933
2020-02-13,90.41,3336859,21.22,2933661,67.44,11602733,270.78,13200384,54.53,51640035
2020-02-14,90.17,2433117,20.77,2316029,67.27,13405451,289.79,26048093,55.31,52365370
2020-02-18,89.24,2042582,19.81,1962878,66.14,12766566,296.57,15547025,56.89,70346387
2020-02-19,90.71,2466876,20.18,1801940,67.11,13551202,314.7,17358281,58.9,58597294
2020-02-20,89.79,1742461,19.19,2230870,65.45,26452594,308.7,20251259,57.27,74203373
2020-02-21,87.72,2353874,19.03,1498708,64.34,20780465,294.07,19232331,53.28,88553374
2020-02-24,85.18,3222396,18.41,2030886,61.76,26903117,273.28,21422873,49.12,86624116
2020-02-25,83.88,4275676,17.81,3495288,59.73,34495728,262.05,26387442,47.57,88699382
2020-02-26,82.6,3490688,18.37,1938644,59.65,26217740,267.65,18741536,47.49,86897680
2020-02-27,79.49,4638592,17.29,2554974,55.83,42226859,252.6,22660373,44.01,106416222
2020-02-28,83.49,6094609,17.95,2850823,55.52,60727999,270.07,28366882,45.48,100667707
2020-03-02,84.61,4361315,18.63,1555391,58.18,43140304,276.43,22268639,47.46,102324726
2020-03-03,81.8,4745222,17.98,1905227,55.97,49740276,265.89,16319828,46.75,141972288
2020-03-04,83.43,4344343,19.14,2250256,58.68,29223071,284.51,14935184,50.11,93311779
2020-03-05,81.06,2889791,19.05,4778409,56.96,29099163,273.29,13508187,48.11,98302748
2020-03-06,79.86,3345059,18.65,3252496,55.77,36259158,266.04,12885307,48.59,124590861
2020-03-09,73.68,4966428,16.8,2596339,50.85,56196983,245.44,15353960,43.27,80859774
2020-03-10,77.61,3726505,17.51,2275177,53.98,36568951,261.08,14516218,45.38,76228247
2020-03-11,73.67,3438105,16.46,2812114,51.66,38573961,246.47,12551693,45.7,102319010
2020-03-12,68.98,7662214,15.615,3756770,45.54,50661745,216.31,20413535,39.01,107461521
2020-03-13,76.54,6500977,16.81,2011593,54.43,48805059,240.84,15870943,43.9,86689681
2020-03-16,69.83,4759826,14.68,2369512,44.61,53878939,196.4,18174303,38.71,84545868
2020-03-17,77.82,5774788,15.52,3320807,50.08,52085162,217.27,20840799,41.88,92741881
2020-03-18,74.41,5199803,14.53,1951475,47.61,49309879,202.82,21727385,39.12,106163124
2020-03-19,75.46,3652323,14.99,1998987,45.94,44538030,212.97,19137847,39.82,88939024
2020-03-20,71.86,4323840,14.86,3234167,45.83,52344045,205.75,20115854,39.61,106859502
2020-03-23,72.0,4359146,14.02,2727790,49.58,46698478,212.69,16096866,41.64,101704663
2020-03-24,76.91,4999823,16.47,2672775,52.4,50019753,249.18,27541095,46.22,106794151
2020-03-25,75.02,3476785,15.79,1417609,51.26,41106063,245.62,19835767,44.63,93760389
2020-03-26,80.28,4147854,16.94,1525263,55.54,41475406,257.24,17439692,47.5,73915608
2020-03-27,75.22,2934050,16.91,1612877,52.37,31633487,252.73,15970744,46.58,74599218
2020-03-30,79.35,3272196,17.85,2145769,55.49,31628610,265.59,15056253,47.86,68486602
2020-03-31,77.94,2711735,17.82,3485815,54.12,48081861,263.6,23749014,45.48,83483749
2020-04-01,76.69,3043875,17.03,1906389,51.88,29586562,243.07,16422828,43.66,92083081
2020-04-02,79.15,2840182,16.85,1231538,54.35,27809987,255.47,16894113,44.49,79024133
2020-04-03,79.08,2211413,16.84,1129015,54.13,23906062,243.91,16580346,42.59,79334966
2020-04-06,84.65,4267867,18.43,1225173,58.43,32323387,268.4,18197062,47.52,82293964
2020-04-07,83.95,2515860,18.46,1393018,58.4,41410012,259.03,19613047,47.56,102098689
2020-04-08,84.5,2357151,19.22,1338055,58.98,26719500,266.95,13561113,48.79,64930779
2020-04-09,83.11,3098096,18.88,1912620,57.14,40515419,262.95,13156195,48.38,80357393
2020-04-13,83.3,1396961,19.17,860608,58.7,23251938,269.85,9960182,50.94,64290112
2020-04-14,85.92,2185341,20.21,1025819,60.66,25673992,283.95,13273667,54.93,85306750
2020-04-15,84.16,2037563,19.4,1210007,58.87,22841552,280.84,9153721,54.99,83814033
2020-04-16,89.61,3789376,20.07,1237011,60.79,24433516,294.7,18640510,56.95,103106456
2020-04-17,89.0,2797472,20.195,1188449,60.36,27385636,292.32,13478049,56.6,76908783
