index,XLNX_close,XLNX_volume,LSCC_close,LSCC_volume,INTC_close,INTC_volume,NVDA_close,NVDA_volume,AMD_close,AMD_volume
2019-08-05,107.01,4108318,18.6,2015978,46.97,38936649,150.79,14728936,27.99,74333240
2019-08-06,105.66,3018308,18.87,1582308,46.96,26119563,152.35,9031767,28.86,60578444
2019-08-07,104.92,3732062,18.32,1690862,46.73,29440393,153.89,9314045,29.19,58577543
2019-08-08,109.84,3338724,19.36,2019075,47.17,30643740,158.26,7732472,33.92,167278810
2019-08-09,104.23,4415414,18.96,1197391,45.98,24975455,154.18,8545418,34.19,132483947
2019-08-12,103.18,2638545,18.63,1302541,45.6,18494298,151.45,6980012,32.43,106936040
2019-08-13,106.43,3359508,19.08,1269436,46.84,29374656,156.05,9012811,32.11,102579321
2019-08-14,102.98,3002323,18.45,3498242,45.87,25650218,150.07,10497033,30.24,127521456
2019-08-15,103.8,2179327,18.43,831511,45.7,21992683,148.77,13861551,29.67,72606817
2019-08-16,105.46,2588396,19.08,2059202,46.5,23335693,159.56,25384628,31.18,71588978
2019-08-19,106.91,2322330,18.95,1936734,47.23,21404916,170.78,20408061,31.48,67781613
2019-08-20,105.1,3418164,19.11,1397375,46.6,23115324,167.87,11588040,30.72,48016381
2019-08-21,106.09,1552781,20.06,1904351,47.15,15915801,171.23,10697773,31.7,41635046
2019-08-22,104.43,1983076,19.98,1301707,46.78,19785890,171.48,7593918,31.9,47742174
2019-08-23,100.97,4078756,18.86,1986330,44.96,32817083,162.44,14237433,29.54,83931683
2019-08-26,101.79,3320834,19.07,801043,45.56,22086633,165.45,7964854,30.28,50858859
2019-08-27,100.22,2746505,19.25,1641383,45.79,16927568,161.8,7288739,30.2,53351711
2019-08-28,100.83,2209495,19.25,1176599,45.79,14804138,161.22,6376719,30.78,55780427
2019-08-29,103.45,3291720,19.89,1652728,46.87,17806113,167.0,8959326,31.45,44485479
2019-08-30,104.06,1938788,19.69,2058429,47.41,16923146,167.51,7272712,31.45,40347321
2019-09-03,100.4,3217260,18.54,3159187,46.98,15010268,164.17,7412770,30.9,38080254
2019-09-04,102.29,2003190,19.2,1335199,48.92,23472112,168.76,5703009,30.95,46709780
2019-09-05,105.3,3446885,19.73,1842647,50.1,30023117,179.74,17412125,31.5,57932080
2019-09-06,105.94,2650050,19.98,1298245,50.92,17067940,178.65,9424419,30.56,51672982
2019-09-09,105.51,1866876,20.85,4022282,51.59,20749659,180.5,10438133,30.5,54413163
2019-09-10,106.72,2494676,19.18,3537826,51.82,18532029,183.18,8820305,30.23,48604766
2019-09-11,105.05,3136500,20.13,1958586,52.79,18968942,184.33,9037782,29.76,50631683
