index,XLNX_close,XLNX_volume,LSCC_close,LSCC_volume,INTC_close,INTC_volume,NVDA_close,NVDA_volume,AMD_close,AMD_volume
2019-06-28,117.92,4524900,14.59,2973000,47.87,26646200,164.23,9941700,30.37,50090900
2019-07-01,121.15,4280500,15.1,1781100,48.05,27423300,166.17,17743900,31.2,60275900
2019-07-02,117.6,3113500,14.7,1432600,48.12,15381600,162.23,10005700,31.24,37721700
2019-07-03,116.39,2627900,14.92,1328100,48.52,10739100,162.75,6165900,31.19,23462000
2019-07-05,116.11,1747400,15.07,678300,48.08,14339200,160.23,9913800,31.5,34011900
2019-07-08,115.93,1431600,15.02,973400,47.82,16564300,157.21,8244700,32.04,49689400
2019-07-09,117.34,2081400,15.38,2696200,47.75,17853200,157.31,8571500,33.15,61419800
2019-07-10,117.49,2062600,15.88,2538900,48.21,16032300,160.06,11301900,33.79,60388400
2019-07-11,118.37,1880000,16.25,2508400,48.6,16615100,166.28,17064000,33.06,63081800
2019-07-12,120.32,2183500,16.62,3204600,49.92,20148700,167.61,12659800,33.21,51509700
2019-07-15,121.66,1407300,16.88,2247100,50.12,14345100,167.27,7246000,34.39,65565200
2019-07-16,121.23,2050600,16.15,1946800,49.17,17131400,167.08,8536100,33.85,66912700
2019-07-17,120.91,1727700,16.39,1849100,49.39,11928600,169.71,8705100,33.6,42557900
2019-07-18,122.86,2907500,16.18,2290800,49.94,15671600,170.18,11054800,33.0,58473900
2019-07-19,122.7,2434200,16.37,1144600,50.27,29141100,168.44,8622400,32.51,44617700
2019-07-22,124.23,2073100,16.38,989600,51.35,21688000,171.32,7898500,32.85,37777300
2019-07-23,127.28,3043700,16.3,1099900,51.75,18413500,175.66,10704400,33.49,38532500
2019-07-24,132.14,6356300,16.79,2653200,52.92,20896400,178.66,9155900,34.11,41952300
2019-07-25,127.59,7457600,16.66,1517700,52.16,27765400,173.38,9817500,33.67,36705600
2019-07-26,120.77,5831400,16.68,884500,51.59,36401500,175.07,6854000,34.02,43502800
2019-07-29,120.55,2770300,16.38,1866400,52.51,21897500,174.82,6204000,33.48,45922000
2019-07-30,119.51,2404900,16.41,2296100,51.7,16487700,175.45,4944300,33.87,72198900
2019-07-31,114.21,5125500,19.34,12246800,50.55,24169800,168.72,8985400,30.45,119190000
2019-08-01,113.46,5335800,19.3,6372700,49.5,34020800,164.92,10530300,29.86,80878900
2019-08-02,110.18,4450900,19.02,2041000,48.68,27881600,161.19,10708700,29.44,60410900
2019-08-05,107.01,4108300,18.6,2016000,46.97,38936600,150.79,14728900,27.99,74333200
2019-08-06,105.66,3018300,18.87,1582300,46.96,26119600,152.35,9031800,28.86,60578400
2019-08-07,104.92,3732100,18.32,1690900,46.73,29440400,153.89,9314000,29.19,58577500
2019-08-08,109.84,3338700,19.36,2019100,47.17,30643700,158.26,7732500,33.92,167278800
2019-08-09,104.23,4415400,18.96,1197400,45.98,24975500,154.18,8545400,34.19,132483900
2019-08-12,103.18,2638500,18.63,1302500,45.6,18494300,151.45,6980000,32.43,106936000
2019-08-13,106.43,3310800,19.08,1269200,46.84,28959500,156.05,8798900,32.11,102009700
2019-08-14,102.98,3002300,18.45,3497800,45.87,25650200,150.07,10497000,30.24,127521500
2019-08-15,103.8,2171000,18.43,831500,45.7,21896000,148.77,11930000,29.67,71674400
2019-08-16,105.46,2531400,19.08,2050500,46.5,22701800,159.56,25199000,31.18,70469800
2019-08-19,106.91,2322300,18.95,1935700,47.23,21403600,170.78,20377800,31.48,67596900
2019-08-20,105.1,3417900,19.11,1397400,46.6,23113300,167.87,11579700,30.72,47924000
2019-08-21,106.09,1552600,20.06,1904400,47.15,15915000,171.23,10681100,31.7,41441500
2019-08-22,104.43,1981500,19.98,1301600,46.78,19783000,171.48,7587200,31.9,47667900
